AppID,Name,Release_Date,Primary_Genre,All_Tags,Price_USD,Discount_Pct,Review_Score_Pct,Total_Reviews,Steam_Deck_Status,Estimated_Owners,24h_Peak_Players,metadata_soup
2124490,SILENT HILL 2,2024-10-07,Action,Psychological Horror;Horror;Survival Horror;Story Rich;Atmospheric;Psychological;Remake;Great Soundtrack;Singleplayer;Third Person,69.99,0,92,38421,Unknown,1152630,514,action psychological horror;horror;survival horror;story rich;atmospheric;psychological;remake;great soundtrack;singleplayer;third person
1997660,GreedFall: The Dying World,2026-03-10,Action,RPG;Adventure;Story Rich;Fantasy;Character Customization;Singleplayer;Choices Matter;Open World;Exploration;Action,49.99,0,76,696,Unknown,20880,2,action rpg;adventure;story rich;fantasy;character customization;singleplayer;choices matter;open world;exploration;action
3556750,"Warhammer 40,000: Dawn of War - Definitive Edition",2025-08-14,Strategy,Strategy;RTS;Singleplayer;Multiplayer;Online Co-Op;Sci-fi;Base Building;Co-op;PvE;Action RTS,29.99,0,89,10428,Unknown,312840,0,strategy strategy;rts;singleplayer;multiplayer;online co-op;sci-fi;base building;co-op;pve;action rts
1816300,HARVESTELLA,2022-11-04,Action,Exploration;RPG;JRPG;Farming Sim;Agriculture;Sandbox;Life Sim;Building;Action RPG;Open World,23.99,60,78,2008,Unknown,60240,30,action exploration;rpg;jrpg;farming sim;agriculture;sandbox;life sim;building;action rpg;open world
835570,Conqueror's Blade,2020-04-05,Action,Swordplay;Free to Play;PvP;Medieval;Massively Multiplayer;Wargame;Strategy;Action;Sandbox;MMORPG,0.0,0,67,4095,Unknown,122850,8349,action swordplay;free to play;pvp;medieval;massively multiplayer;wargame;strategy;action;sandbox;mmorpg
1154030,Titan Quest II,2025-08-01,Action,Early Access;RPG;Action RPG;Hack and Slash;Mythology;Action;Dungeon Crawler;Open World;3D;Character Customization,27.99,20,77,15094,Unknown,452820,0,action early access;rpg;action rpg;hack and slash;mythology;action;dungeon crawler;open world;3d;character customization
926990,WolfQuest: Anniversary Edition,2025-07-22,Action,Life Sim;Survival;Nature;Open World;Multiplayer;Co-op;Online Co-Op;PvE;RPG;Realistic,29.99,0,95,10702,Unknown,321060,869,action life sim;survival;nature;open world;multiplayer;co-op;online co-op;pve;rpg;realistic
492720,Tropico 6,2019-03-29,Simulation,City Builder;Strategy;Simulation;Economy;Management;Political Sim;Multiplayer;Sandbox;Politics;Building,11.99,70,88,19246,Unknown,577380,575,simulation city builder;strategy;simulation;economy;management;political sim;multiplayer;sandbox;politics;building
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,Simulation,Simulation;Flight;Realistic;Multiplayer;Open World;VR;Singleplayer;Real-Time;Atmospheric;Physics,59.99,0,66,67918,Unknown,2037540,3245,simulation simulation;flight;realistic;multiplayer;open world;vr;singleplayer;real-time;atmospheric;physics
1588530,Dungeon Alchemist,2022-03-31,RPG,Tabletop;Level Editor;Fantasy;Software;RPG;Procedural Generation;Moddable;Dungeons & Dragons;Utilities;Top-Down,35.99,20,91,2471,Unknown,74130,155,rpg tabletop;level editor;fantasy;software;rpg;procedural generation;moddable;dungeons & dragons;utilities;top-down
293760,Automation - The Car Company Tycoon Game,2015-03-12,Indie,Simulation;Management;Building;Sandbox;Automobile Sim;Realistic;Crafting;Strategy;Early Access;Education,29.99,0,96,15727,Unknown,471810,554,indie simulation;management;building;sandbox;automobile sim;realistic;crafting;strategy;early access;education
3361510,Coal LLC,2025-09-11,Indie,Management;Roguelite;Capitalism;Mining;Economy;Time Management;Roguelike;Perma Death;Nature;Underground,14.99,0,90,874,Unknown,26220,0,indie management;roguelite;capitalism;mining;economy;time management;roguelike;perma death;nature;underground
